Model,Accuracy,Precision,Recall,F1_Score,ROC,Mean_cross_val
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,0.9735800344234079
LogisticRegression,0.9615384615384616,0.9838709677419355,0.953125,0.9682539682539683,0.9640625,0.9111589213998853
KNeighborsClassifier,0.9615384615384616,0.9838709677419355,0.953125,0.9682539682539683,0.9640625,0.9110154905335628
SVC,0.9807692307692307,0.984375,0.984375,0.984375,0.9796875,0.961617900172117
